8.12E-04	1.39E+06	1.78E+05
7.63E-04	1.36E+06	1.82E+05
7.15E-04	1.37E+06	1.86E+05
6.70E-04	1.37E+06	1.72E+05
6.34E-04	1.36E+06	1.67E+05
5.98E-04	1.35E+06	1.68E+05
5.70E-04	1.34E+06	1.52E+05
5.32E-04	1.32E+06	1.51E+05
4.99E-04	1.30E+06	1.41E+05
4.71E-04	1.29E+06	1.50E+05
4.52E-04	1.30E+06	1.26E+05
4.28E-04	1.28E+06	1.30E+05
4.04E-04	1.28E+06	1.22E+05
3.79E-04	1.26E+06	1.24E+05
3.57E-04	1.25E+06	1.16E+05
3.36E-04	1.25E+06	1.16E+05
3.21E-04	1.23E+06	1.18E+05
3.02E-04	1.22E+06	1.24E+05
2.84E-04	1.26E+06	1.10E+05
2.70E-04	1.24E+06	1.06E+05
2.52E-04	1.22E+06	9.30E+04
2.37E-04	1.22E+06	9.46E+04
2.25E-04	1.19E+06	7.71E+04
2.14E-04	1.20E+06	8.48E+04
2.02E-04	1.16E+06	9.77E+04
1.92E-04	1.16E+06	1.04E+05
1.84E-04	1.15E+06	1.02E+05
1.73E-04	1.13E+06	8.70E+04
1.65E-04	1.12E+06	9.72E+04
1.59E-04	1.10E+06	9.81E+04
1.52E-04	1.11E+06	7.74E+04
1.42E-04	1.16E+06	7.48E+04
1.35E-04	1.11E+06	7.34E+04
1.27E-04	1.14E+06	7.56E+04
1.21E-04	1.12E+06	7.62E+04
1.15E-04	1.10E+06	7.02E+04
1.09E-04	1.13E+06	6.89E+04
1.04E-04	1.10E+06	6.55E+04
9.88E-05	1.08E+06	7.71E+04
9.47E-05	1.07E+06	9.13E+04
9.05E-05	1.06E+06	7.82E+04
8.68E-05	1.05E+06	9.19E+04
8.32E-05	1.05E+06	6.26E+04
7.88E-05	1.09E+06	5.84E+04
7.56E-05	1.08E+06	7.64E+04
7.22E-05	1.05E+06	7.15E+04
6.88E-05	1.05E+06	7.39E+04
6.60E-05	1.03E+06	6.22E+04
6.35E-05	1.06E+06	6.64E+04
6.01E-05	1.03E+06	5.89E+04
5.77E-05	1.03E+06	6.20E+04
5.48E-05	1.06E+06	7.10E+04
5.26E-05	1.02E+06	5.05E+04
5.03E-05	1.03E+06	7.32E+04
4.81E-05	1.02E+06	8.34E+04
4.60E-05	1.00E+06	6.88E+04
4.42E-05	9.70E+05	6.83E+04
4.20E-05	9.78E+05	7.89E+04
4.03E-05	9.79E+05	6.64E+04
3.86E-05	9.71E+05	7.88E+04
3.73E-05	9.70E+05	7.55E+04
3.55E-05	9.32E+05	8.11E+04
3.44E-05	9.45E+05	7.10E+04
3.28E-05	1.00E+06	5.40E+04
3.18E-05	9.79E+05	5.36E+04
3.07E-05	9.84E+05	6.06E+04
2.93E-05	9.71E+05	7.32E+04
2.81E-05	9.64E+05	6.49E+04
2.71E-05	9.54E+05	7.14E+04
2.60E-05	9.47E+05	6.62E+04
2.51E-05	9.45E+05	6.14E+04
2.43E-05	9.41E+05	6.47E+04
2.34E-05	9.28E+05	6.97E+04
2.26E-05	9.29E+05	7.00E+04
2.17E-05	9.23E+05	6.45E+04
2.10E-05	9.16E+05	8.18E+04
2.02E-05	8.99E+05	7.10E+04
1.96E-05	8.97E+05	6.84E+04
1.89E-05	9.16E+05	9.00E+04
1.83E-05	8.97E+05	7.81E+04
1.77E-05	8.86E+05	7.04E+04
1.70E-05	8.64E+05	7.78E+04
